,latency
989,1.338000000000001e-05
990,1.7100000000000036e-05
991,1.006999999999999e-05
992,1.026e-05
993,1.3050000000000005e-05
994,2.720000000000001e-05
995,1.979e-05
996,1.6030000000000007e-05
997,1.2639999999999987e-05
998,1.1430000000000004e-05
999,1.0639999999999993e-05
